word,dlt_stor
make,2
driverless,2
vehicles,1
work.,0
Google,1
will,1
now,1
run,1
a,1
program,2
to,2
test,3
the,3
cars,2
"further,",2
which,1
are,1
not,1
yet,1
for,1
sale.,0
One,1
challenge,1
is,1
creating,2
high-definition,8
scans,2
of,2
the,2
roads,2
and,2
surroundings,1
before,1
the,2
cars,1
can,1
drive,2
along,2
them,1
because,1
they,1
cannot,2
gather,1
and,1
process,2
enough,2
information,1
in,1
real,1
time.,0
So,1
"far,",2
there,1
are,2
high-detail,8
maps,2
of,2
about,3
"2,000",2
miles,2
of,2
California's,5
"roads,",2
but,1
the,2
state,1
has,1
more,3
than,2
"170,000",1
miles,1
of,1
public,1
roads.,0
Google,1
says,1
it,1
is,1
interested,1
in,1
licensing,3
the,3
technology,2
to,2
traditional,2
vehicle,2
manufacturers,1
once,1
it,1
has,1
refined,2
it,1
sufficiently.,0
Members,2
of,2
the,2
team,1
had,1
been,1
working,2
on,2
the,2
project,1
even,1
before,1
joining,2
"Google,",2
for,1
more,2
than,1
a,1
decade.,0
But,1
the,2
prospect,2
of,2
driverless,2
cars,2
replacing,2
human-driven,8
taxis,1
has,1
been,1
the,1
cause,1
of,1
some,1
alarm.,0
“If,1
you,1
get,2
rid,2
of,2
the,2
"driver,",2
then,1
they're,2
"unemployed,”",3
said,1
Dennis,2
"Conyon,",2
the,1
south-,4
east,1
director,1
for,1
the,1
UK,1
National,1
Taxi,1
Association.,0
“It,1
would,1
have,1
a,1
major,1
impact,1
on,1
the,1
labor,1
force.”,0
London,1
has,2
about,3
"22,000",2
licensed,2
cabs,2
and,2
Conyon,2
estimates,1
that,1
the,2
total,2
number,2
of,2
people,2
who,2
drive,3
taxis,2
for,2
hire,2
in,2
the,2
UK,1
is,1
about,1
"100,000.",0
"However,",2
Steve,3
"McNamara,",4
general,2
secretary,2
of,2
the,2
"10,500-strong",8
London,3
Taxi,3
Drivers',5
"Association,",2
said:,2
“You,2
won't,2
get,3
these,3
driverless,3
cars,2
in,2
London,1
for,1
20,2
or,2
25,1
years.,0
"Maybe,",2
by,2
"then,",2
they'll,2
have,2
a,2
charge,2
point,1
–,1
because,1
there,1
isn't,5
a,2
single,2
one,2
in,2
London,1
now.”,0
Other,1
car,1
"makers,",4
including,2
"Volvo,",6
Ford,2
and,2
"Mercedes,",2
are,1
working,1
on,1
driver-assisted,5
"vehicles,",2
"which,",2
unlike,2
Google's,5
"version,",2
do,1
not,1
dispense,1
with,1
the,1
driver,1
controls.,0
But,1
Chris,3
"Urmson,",4
director,2
of,2
the,2
self-driving,8
car,2
project,2
at,2
"Google,",2
said,1
that,1
the,2
new,2
prototypes,1
dispensed,2
with,2
the,2
steering,2
wheel,2
and,2
brakes,1
because,1
there,1
was,1
no,1
guarantee,1
that,1
a,2
human,2
occupant,1
would,1
be,1
able,2
to,2
take,3
over,2
in,2
an,2
"emergency,",2
and,1
that,1
it,1
was,1
simpler,1
just,1
to,1
have,1
an,1
emergency,2
stop,1
button.,0
Urmson,1
said:,2
“The,3
vehicles,1
will,1
be,1
very,1
basic.,0
We,1
want,1
to,1
learn,2
from,2
them,1
and,1
adapt,2
them,1
as,1
quickly,1
as,1
possible.,0
But,1
they,1
will,1
take,2
you,1
where,1
you,1
want,1
to,1
go,1
at,1
the,1
push,1
of,1
a,1
button.,0
"And,",2
that's,2
an,1
important,1
step,1
towards,1
improving,2
road,2
safety,1
and,1
transforming,2
mobility,1
for,1
millions,1
of,1
people.”,0
So,1
"far,",2
the,2
Google,2
versions,2
of,2
the,2
self-driving,8
cars,1
have,1
covered,2
"700,000",2
miles,1
without,1
an,1
accident,1
caused,1
by,1
the,1
computer.,0
The,1
company,1
points,2
out,1
that,1
thousands,2
of,2
people,1
die,3
each,3
year,2
on,2
the,2
roads,1
and,1
that,1
about,2
80%,4
of,2
crashes,1
can,1
be,1
ascribed,1
to,1
human,1
error.,0
"But,",2
they,1
could,1
have,1
some,1
way,1
to,1
go,1
to,1
match,2
Conyon,1
at,1
the,1
National,1
Taxi,1
Association.,0
Aged,1
"79,",2
he,1
has,1
been,1
driving,3
a,3
taxi,2
for,2
50,2
years,1
and,1
claims,1
never,1
to,1
have,1
had,1
an,1
accident.,0
A,1
car,2
with,2
a,2
maximum,2
speed,2
of,2
25,2
miles,2
per,2
"hour,",2
two,2
seats,2
and,2
no,2
pedals,2
or,2
steering,2
wheel,1
does,1
not,1
sound,1
very,1
interesting.,0
But,1
"Google,",2
in,2
the,2
"US,",2
shocked,2
the,2
car,3
and,3
taxi,2
industries,1
when,1
it,1
unveiled,1
the,1
latest,1
version,1
of,1
its,1
driverless,1
car.,0
Google,1
has,1
begun,1
testing,2
the,2
electric,2
car,1
at,1
its,1
headquarters,1
in,1
Mountain,1
"View,",2
California.,0
The,1
car,1
does,1
not,1
have,1
all,1
the,1
normal,1
car,1
"controls,",2
such,2
as,1
foot,1
pedals.,0
"Instead,",2
it,1
has,1
a,1
smartphone,1
app,2
that,2
calls,3
it,2
and,2
tells,4
it,3
the,3
"destination,",4
and,2
a,2
STOP,2
button,2
between,2
the,2
two,2
seats,1
in,2
case,1
the,2
passengers,1
need,1
to,1
override,1
the,1
computer.,0
The,1
company,1
is,1
building,2
about,3
100,2
prototypes,1
for,1
a,1
two-year,5
test.,0
The,1
company's,3
"co-founder,",4
Sergey,2
"Brin,",2
said,1
that,1
the,2
vehicle,1
was,1
still,1
just,1
a,1
prototype.,0
He,1
says,1
that,1
they,1
want,1
to,1
change,2
the,2
world,1
for,1
people,1
who,1
do,1
not,1
find,2
it,1
easy,1
to,1
use,2
transportation,1
today.,0
Talking,2
about,2
the,2
"car,",2
he,1
"said,",2
“You're,3
just,1
sitting,2
there;,2
no,1
steering,1
"wheel,",2
no,1
pedals.,0
For,1
"me,",2
it,1
was,1
very,1
relaxing.,0
About,1
ten,1
seconds,1
after,2
getting,2
into,2
the,2
"car,",2
I,1
forgot,1
I,1
was,1
there.,0
I,1
found,2
it,1
really,1
fun.”,0
Google,1
says,1
that,1
the,2
aim,2
of,2
the,2
project,1
is,1
to,1
improve,1
safety.,0
They,1
say,2
that,2
the,3
car,2
is,2
made,3
with,3
foam,2
at,2
the,2
front,2
and,2
a,2
plastic,2
"windscreen,",2
so,1
“it,2
should,1
be,1
far,1
safer,1
than,1
any,1
other,1
car,1
for,1
pedestrians.”,0
The,1
cars,1
have,1
been,1
built,2
specially,1
by,1
a,1
company,1
in,1
Detroit.,0
Google,1
will,1
now,1
test,1
the,1
"cars,",2
which,1
are,1
not,1
yet,1
for,1
sale.,0
There,1
need,1
to,1
be,2
detailed,2
scans,2
of,2
the,2
roads,1
before,1
the,2
cars,1
can,1
drive,2
on,2
"them,",2
because,1
they,1
cannot,2
collect,1
and,1
process,2
enough,2
information,1
in,1
real,1
time.,0
So,1
"far,",2
there,1
are,2
detailed,2
maps,2
of,2
about,3
"2,000",2
miles,2
of,2
California's,5
"roads,",2
but,1
California,1
has,1
more,3
than,2
"170,000",1
miles,1
of,1
roads.,0
Google,1
says,1
it,1
wants,1
to,1
license,3
the,3
technology,2
to,2
traditional,2
car,2
makers,1
when,1
they,1
have,1
improved,1
it.,0
But,1
the,2
idea,2
that,2
driverless,3
cars,2
will,2
replace,3
taxis,2
with,2
human,2
drivers,1
has,1
alarmed,1
some,1
people.,0
Dennis,3
Conyon,2
from,2
the,2
UK,2
National,2
Taxi,2
Association,1
said,1
that,1
taxi,2
drivers,1
will,1
become,1
unemployed.,0
London,1
has,2
about,3
"22,000",2
taxis,1
and,1
Conyon,1
thinks,1
that,1
the,2
total,2
number,2
of,2
people,2
who,2
drive,3
taxis,2
in,2
the,2
UK,1
is,1
about,1
"100,000.",0
Other,1
car,1
"makers,",4
including,2
"Volvo,",6
Ford,2
and,2
"Mercedes,",2
are,1
going,1
to,1
make,1
vehicles,1
that,1
will,1
be,1
different,2
from,2
Google's,5
version,1
because,1
they,1
will,1
have,1
driver,1
controls.,0
But,1
Chris,3
"Urmson,",4
director,2
of,2
the,2
driverless,2
car,2
project,2
at,2
"Google,",2
said,1
that,1
the,2
new,2
prototypes,1
do,1
not,1
have,2
a,2
steering,2
wheel,2
or,2
brakes,1
because,1
a,2
human,2
passenger,1
might,1
not,1
be,1
able,1
to,1
take,2
control,1
in,1
an,1
emergency.,0
He,1
said,1
that,1
it,1
was,1
simpler,1
just,1
to,1
have,1
an,1
emergency,2
stop,1
button.,0
Urmson,1
said:,2
“The,3
vehicles,1
will,1
be,1
very,1
basic.,0
But,1
they,1
will,1
take,2
you,1
where,1
you,1
want,1
to,1
go,1
at,1
the,1
push,1
of,1
a,1
button.,0
"And,",2
that's,2
an,1
important,1
step,1
towards,1
improving,2
road,2
safety,1
and,1
helping,2
millions,2
of,2
people,1
travel,2
around,1
more,1
easily.”,0
So,1
"far,",2
the,2
Google,2
versions,2
of,2
the,2
driverless,2
cars,1
have,1
driven,2
"700,000",2
miles,1
without,1
an,1
accident,1
caused,1
by,1
the,1
computer.,0
The,1
company,1
says,1
that,1
thousands,2
of,2
people,1
die,3
each,3
year,2
on,2
the,2
roads,1
and,1
that,1
about,2
80%,4
of,2
crashes,1
are,1
caused,1
by,1
human,1
mistakes.,0
A,1
nasal,1
spray,2
laced,2
with,2
the,2
‘Love,5
hormone',4
oxytocin,1
could,1
help,3
children,3
with,3
autism,2
learn,2
to,2
handle,3
social,3
situations,2
"better,",2
US,2
researchers,1
claim.,0
Scans,2
of,2
children,2
with,2
autistic,2
spectrum,2
disorder,1
showed,1
that,1
a,1
single,1
dose,2
of,2
the,2
chemical,3
improved,2
brain,2
responses,2
to,2
facial,2
"expressions,",2
a,1
shift,1
that,1
could,1
make,2
social,2
interactions,1
feel,1
more,1
natural,2
and,2
rewarding,1
for,1
them.,0
The,1
scientists,2
behind,2
the,2
research,1
said,1
a,2
course,2
of,2
oxytocin,1
might,1
boost,1
the,1
success,1
of,1
behavioral,1
therapies,1
that,1
are,1
already,1
used,1
to,1
help,2
people,2
with,2
autism,1
learn,1
to,1
cope,1
with,1
social,1
situations.,0
“Over,1
"time,",2
what,3
you,3
would,3
expect,3
to,3
see,2
is,2
more,3
appropriate,2
social,2
"responding,",4
being,2
more,2
interested,2
in,2
interacting,2
with,2
other,2
"people,",6
more,3
eye,3
contact,2
and,2
more,3
conversational,2
"ability,”",3
said,1
Kevin,2
"Pelphrey,",2
director,1
of,1
the,1
Child,1
Neuroscience,1
Lab,1
at,1
Yale,1
University.,0
Autism,1
is,1
a,1
developmental,1
disorder,1
seen,1
in,1
more,3
than,2
one,2
in,2
100,1
people.,0
The,1
condition,1
affects,3
individuals,2
in,2
different,2
"ways,",2
but,1
is,1
characterized,1
by,1
difficulties,1
in,1
social,1
interaction,1
and,1
communication.,0
So,1
"far,",2
there,1
is,1
no,1
effective,1
treatment,1
for,1
the,1
social,1
problems,1
caused,1
by,1
autism.,0
Researchers,2
at,2
Yale,1
have,1
studied,3
the,3
brain,3
chemical,3
oxytocin,2
as,2
a,2
potential,2
treatment,2
for,2
the,2
social,2
impairments,2
caused,2
by,2
autism,1
because,1
it,1
plays,1
a,1
crucial,1
role,1
in,1
bonding,1
and,1
trust.,0
Results,1
have,1
been,1
"mixed,",4
though:,2
one,2
recent,2
study,1
found,1
no,1
significant,1
benefit,1
for,1
youths,1
given,2
the,2
chemical,1
over,1
several,1
days.,0
But,1
Pelphrey,1
said,3
oxytocin,3
might,3
help,4
the,4
brain,3
learn,3
from,3
social,3
interactions;,4
it,2
would,2
work,3
best,2
when,2
used,2
with,2
therapies,2
that,2
encourage,4
people,3
with,3
autism,2
to,2
engage,2
more,2
"socially,",2
he,1
said.,0
“Our,1
study,1
shows,2
that,2
oxytocin,2
affects,3
the,3
brain,2
and,2
opens,4
up,3
the,3
possibility,2
"that,",4
when,3
combined,3
with,3
behavioral,3
"treatments,",4
it,2
works,2
like,2
a,2
social,2
"enhancer,”",3
he,1
said.,0
The,1
scientists,1
used,1
a,1
technique,1
called,2
functional,2
MRI,1
to,1
scan,2
the,2
brains,2
of,2
17,2
youths,2
aged,3
eight,3
to,3
16,2
with,2
autism,1
while,1
they,1
looked,1
at,1
images,2
of,2
cars,1
or,1
the,1
eyes,1
of,1
people,1
expressing,1
various,1
emotions.,0
The,1
scans,1
were,1
given,2
45,2
minutes,1
after,1
the,2
participants,1
inhaled,2
a,2
placebo,2
or,2
oxytocin,1
through,1
a,1
nasal,1
spray.,0
The,1
scans,1
showed,1
that,1
reward,2
circuitry,2
in,2
the,3
children's,5
brains,1
behaved,3
more,3
normally,2
after,2
a,2
snort,2
of,2
"oxytocin,",2
being,1
more,1
active,1
when,1
the,2
person,1
was,1
looking,3
at,3
faces,2
and,2
less,2
active,1
when,1
viewing,1
the,1
inanimate,1
cars.,0
The,1
study,1
appears,1
in,1
the,1
latest,1
issue,1
of,1
the,1
journal,1
Proceedings,1
of,1
the,1
National,1
Academy,2
of,2
Sciences,1
in,1
the,1
United,1
States.,0
“If,1
our,2
study,1
is,1
"replicated,",2
it,1
suggests,2
that,2
oxytocin,2
might,2
treat,2
something,2
for,3
which,2
we,2
don't,4
have,3
a,3
treatment,3
in,3
"autism,",4
and,2
that's,4
the,2
core,2
social,2
"motivation,”",3
Pelphrey,1
told,1
the,1
Guardian.,0
He,1
warned,1
that,1
it,1
was,1
too,1
early,2
to,2
use,3
oxytocin,2
as,2
a,2
treatment,2
for,2
the,2
social,2
difficulties,2
caused,2
by,2
autism,1
and,1
cautioned,1
against,1
buying,3
oxytocin,2
from,2
suppliers,1
online.,0
“We,1
don't,2
want,2
them,1
running,3
out,2
on,2
the,2
basis,2
of,2
this,2
study,2
or,2
any,2
other,1
and,1
trying,2
oxytocin,1
at,1
home.,0
There,1
is,1
no,1
telling,1
what,1
they,1
are,1
buying.,0
We,1
are,1
nowhere,1
near,1
thinking,1
this,1
is,1
a,1
ready,1
treatment.,0
It,1
needs,2
more,2
follow-up,8
"research,”",3
said,1
Pelphrey.,0
“This,1
is,1
an,1
important,1
new,1
study,2
in,2
identifying,3
changes,3
in,3
brain,3
activity,2
in,2
key,2
regions,2
of,2
the,2
brain,2
involved,2
in,2
social,2
cognition,2
in,2
autism,2
following,2
oxytocin,2
"administration,”",3
said,1
Simon,3
"Baron-Cohen,",6
director,1
of,1
the,1
Autism,1
Research,1
Center,1
at,1
Cambridge,1
University.,0
A,1
surprising,1
"finding,",2
"however,",2
is,1
that,1
oxytocin,2
nasal,2
spray,1
did,1
not,1
change,2
performance,1
on,1
the,1
social,1
cognitive,1
task.,0
Nor,1
is,1
it,1
clear,2
yet,1
if,1
oxytocin,1
only,1
has,2
benefits,2
for,2
people,2
with,2
autism,1
or,1
has,1
any,1
unwanted,1
side,1
effects.,0
"Finally,",2
oxytocin,2
effects,1
only,1
last,2
about,3
45,2
"minutes,",2
so,1
there,1
may,1
be,2
practical,2
considerations,1
as,2
to,1
whether,1
this,1
could,1
be,1
used,1
as,1
a,1
treatment.,0
“From,1
a,1
scientific,1
"perspective,",2
this,2
study,1
has,3
a,3
lot,3
of,3
evidence,3
from,3
animal,4
and,4
human,3
work,2
to,2
justify,2
serious,2
"attention,",2
but,1
more,2
research,1
is,1
needed.,0
Doctors,1
should,1
be,1
cautious,3
about,3
the,3
clinical,3
potential,3
of,3
this,3
hormone,2
until,2
we,2
know,3
much,3
more,3
about,3
its,3
benefits,3
and,3
"risks,",4
in,2
much,3
larger,2
"studies,”",3
said,1
Simon,2
Baron-Cohen.,2
Uta,3
"Frith,",4
who,2
studies,4
autism,3
at,3
University,3
College,2
"London,",2
said:,2
“According,4
to,2
this,2
"study,",2
oxytocin,1
may,1
have,1
the,1
effect,1
of,1
making,3
faces,2
more,2
interesting,1
as,1
assessed,1
by,1
greater,1
activity,1
in,1
brain,1
structures,1
concerned,1
with,1
reward,1
evaluation.,0
"Disappointingly,",2
this,2
effect,1
is,1
seen,1
only,1
in,1
brain,1
activity,1
and,1
not,1
in,1
behavior.,0
Demonstrating,2
an,2
effect,2
on,2
behavior,1
will,1
be,1
critical,1
if,1
nasal,2
spray,2
treatment,1
is,1
to,1
be,1
of,1
any,1
value.”,0
American,1
researchers,1
say,1
that,1
a,2
nasal,2
spray,2
containing,3
the,3
‘Love,6
hormone',4
oxytocin,1
could,1
help,2
children,2
with,2
autism,1
behave,2
more,2
normally,1
in,1
social,1
situations.,0
Scans,2
of,2
autistic,2
children,1
showed,1
that,1
the,2
chemical,1
made,2
the,2
brain,1
respond,2
better,1
to,1
faces.,0
This,1
could,1
make,2
social,2
interactions,1
easier,1
for,1
them.,0
The,1
researchers,1
said,1
oxytocin,1
might,1
help,1
other,1
treatments,1
that,1
are,1
used,1
to,1
help,2
people,2
with,2
autism,1
in,1
social,1
situations.,0
“Over,1
"time,",2
there,1
would,1
be,1
more,1
normal,1
social,1
responding.,0
Autistic,1
people,1
would,1
be,1
more,1
interested,3
in,3
interacting,3
with,3
other,3
people;,4
there,2
would,2
be,2
more,2
eye,2
contact,2
and,2
more,2
"conversation,”",3
said,1
Kevin,2
"Pelphrey,",2
of,1
Yale,1
University.,0
Autism,1
is,1
a,1
disorder,1
that,1
one,2
in,3
100,2
people,1
have.,0
It,1
affects,3
people,2
in,2
different,2
"ways,",2
but,1
causes,1
difficulties,1
in,1
social,1
interaction,1
and,1
communication.,0
So,1
"far,",2
there,1
is,1
no,1
effective,1
treatment,1
for,1
the,1
social,1
problems,1
that,1
autism,1
causes.,0
Researchers,2
at,2
Yale,1
have,1
studied,1
the,1
brain,1
chemical,1
oxytocin.,0
They,1
say,1
it,1
is,1
a,1
possible,1
treatment,2
for,2
the,2
social,2
problems,2
caused,2
by,2
autism,1
because,1
it,1
plays,1
an,1
important,1
role,1
in,1
bonding,1
and,1
trust.,0
But,1
not,1
all,2
results,1
are,1
positive:,2
one,2
recent,2
study,1
found,1
no,1
significant,1
benefit,1
for,1
young,1
people,1
who,1
took,2
the,2
chemical,1
for,1
several,1
days.,0
But,1
Pelphrey,1
said,3
oxytocin,3
might,3
help,4
the,4
brain,3
learn,3
from,3
social,3
interactions;,4
it,2
would,2
work,3
best,2
when,2
used,3
together,2
with,2
therapies,2
that,2
encourage,4
people,3
with,3
autism,2
to,2
interact,2
more,2
"socially,",2
he,1
said.,0
Scientists,1
tested,1
17,1
young,1
people,1
aged,2
eight,2
to,2
16,1
with,1
autism.,0
They,1
gave,3
them,2
either,2
oxytocin,2
or,2
a,2
placebo,1
through,1
a,1
nose,1
spray.,0
"Then,",2
the,2
scientists,1
scanned,2
their,2
brains,1
while,1
they,1
looked,1
at,1
images,2
of,2
cars,1
or,1
the,1
eyes,1
of,1
people,1
expressing,1
different,1
emotions.,0
The,1
scans,1
showed,2
that,2
some,3
parts,3
of,3
the,4
children's,7
brains,2
behaved,3
more,3
normally,2
after,2
oxytocin:,2
they,1
were,1
more,1
active,1
when,1
the,2
person,1
was,1
looking,3
at,3
faces,2
and,2
less,2
active,1
when,1
the,2
person,1
was,1
looking,1
at,1
the,1
cars.,0
“Our,1
study,1
suggests,1
that,1
oxytocin,1
might,1
treat,1
basic,1
social,1
motivation.,0
This,1
is,1
something,2
for,3
which,2
we,2
don't,4
have,2
a,2
treatment,2
in,2
"autism,”",3
said,1
Pelphrey.,0
He,1
said,2
that,2
it,2
was,2
too,2
early,2
to,2
use,3
oxytocin,2
as,2
a,2
treatment,2
for,2
the,2
social,2
difficulties,2
caused,2
by,2
autism,1
and,1
said,1
people,1
should,1
not,1
buy,2
oxytocin,1
online.,0
“We,1
don't,2
want,2
them,1
to,1
try,2
oxytocin,1
at,1
home.,0
It,1
is,1
impossible,1
to,1
say,1
what,1
they,1
are,1
buying.,0
This,1
is,1
not,1
a,1
treatment,1
yet.,0
It,1
needs,2
more,2
"research,”",3
said,1
Pelphrey.,0
“This,1
is,1
an,1
important,1
new,1
"study,”",3
said,1
Simon,3
"Baron-Cohen,",6
director,1
of,1
the,1
Autism,1
Research,1
Center,1
at,1
Cambridge,1
University.,0
"But,",2
the,2
scientists,1
were,1
surprised,1
to,1
find,1
that,1
oxytocin,1
did,1
not,1
help,2
the,2
children,1
in,1
social,2
recognition,1
tasks.,0
It,1
is,1
also,1
not,1
known,2
yet,1
if,1
oxytocin,1
only,1
has,2
benefits,2
for,2
people,2
with,2
autism,1
or,1
has,1
any,1
bad,1
side,1
effects.,0
"Finally,",2
oxytocin,2
effects,1
only,1
last,2
about,3
45,2
"minutes,",2
so,1
it,1
might,1
be,1
difficult,1
to,1
use,2
it,1
as,1
a,1
treatment.,0
“This,1
study,1
has,4
a,4
lot,4
of,4
evidence,4
from,4
animal,5
and,5
human,4
work,3
to,3
show,3
that,3
oxytocin,3
"helps,",4
but,2
we,2
need,2
more,2
"research,”",3
said,1
Simon,2
Baron-Cohen.,2
Uta,3
"Frith,",4
who,2
studies,4
autism,3
at,3
University,3
College,2
"London,",2
said:,2
“According,4
to,2
this,2
"study,",2
oxytocin,1
may,1
make,2
faces,1
more,1
interesting.,0
"Disappointingly,",2
this,2
effect,1
is,1
seen,1
only,1
in,1
brain,1
activity,1
and,1
not,1
in,1
behavior.”,0
She,1
said,1
"that,",2
if,2
we,2
want,3
oxytocin,2
to,2
become,2
a,2
useful,2
treatment,2
for,2
"autism,",2
we,1
need,1
to,1
show,1
that,1
is,1
has,1
an,1
effect,1
on,1
behavior.,0
They,1
call,2
him,1
the,1
Robin,3
Hood,2
of,2
the,2
"banks,",2
a,1
man,1
who,1
took,4
out,3
dozens,3
of,3
"loans,",4
worth,2
almost,3
half,3
a,3
million,2
"euros,",2
with,1
no,1
intention,1
of,1
ever,1
paying,2
them,1
back.,0
"Instead,",2
Enric,2
Duran,1
handed,3
the,3
money,2
out,1
to,1
projects,1
that,1
created,2
and,2
promoted,1
alternatives,1
to,1
capitalism.,0
After,1
14,1
months,2
in,2
"hiding,",2
Duran,1
is,1
"unapologetic,",2
even,1
though,1
his,2
activities,1
could,1
land,2
him,1
in,1
jail.,0
“I'm,2
proud,2
of,2
what,2
I,2
"did,”",3
he,1
said,1
in,1
an,1
interview,2
by,2
Skype,1
from,1
an,1
undisclosed,1
location.,0
From,1
2006,2
to,2
"2008,",2
Duran,1
took,3
out,2
68,2
commercial,3
and,3
personal,2
loans,1
from,1
39,1
banks,1
in,1
Spain.,0
He,1
farmed,4
the,4
money,3
out,2
to,2
social,2
"activists,",2
funding,2
speaking,2
tours,2
against,2
capitalism,2
and,2
TV,2
cameras,1
for,1
a,1
media,1
network.,0
“I,1
saw,2
"that,",4
on,3
one,3
"side,",4
these,3
social,3
movements,2
were,2
building,3
alternatives,2
but,2
that,2
they,2
lacked,2
resources,2
and,2
communication,2
"capacities,”",3
he,1
said.,0
"“Meanwhile,",2
our,2
economy,1
was,1
perpetually,1
"growing,",2
which,1
lead,1
to,1
a,1
system,1
that,1
created,2
money,1
out,2
of,1
nothing.”,0
The,1
loans,2
Duran,2
swindled,2
from,2
banks,1
were,1
his,1
way,2
of,2
regulating,2
and,2
denouncing,2
this,2
"situation,",2
he,1
said.,0
He,1
started,1
slowly.,0
“I,1
filled,3
out,2
a,2
few,2
credit,2
applications,1
with,1
my,1
real,1
details.,0
They,1
denied,2
"me,",2
but,1
I,1
just,1
wanted,1
to,1
get,1
a,1
feel,1
for,1
what,1
they,1
were,1
asking,1
for.”,0
From,1
"there,",2
the,2
former,2
table-tennis,8
coach,1
began,1
to,1
weave,1
an,1
intricate,1
web,1
of,1
"accounts,",4
payments,1
and,1
transfers.,0
“I,1
was,1
learning,1
constantly.”,0
By,1
the,1
summer,2
of,2
"2007,",2
he,1
had,1
discovered,2
how,1
to,1
make,3
the,3
system,2
"work,",2
applying,2
for,2
loans,1
under,1
the,1
name,1
of,1
a,1
false,1
television,1
production,1
company.,0
"“Then,",2
I,1
managed,1
to,1
get,1
a,1
lot.”,0
"€492,000,",4
to,1
be,1
exact.,0
Duran,1
was,1
arrested,3
in,3
Spain,2
in,2
"2009,",2
on,1
charges,1
brought,2
against,2
him,1
by,1
six,1
of,1
the,1
39,1
banks,1
that,1
had,1
lent,2
him,1
money.,0
He,1
spent,3
two,3
months,2
in,2
prison,1
before,1
being,1
bailed,1
for,1
"€50,000.",1
In,1
February,2
"2013,",2
facing,2
up,4
to,3
eight,2
years,2
in,2
"prison,",2
he,1
decided,1
to,1
flee,1
rather,2
than,1
stand,1
trial.,0
“I,1
don't,2
see,3
legitimacy,3
in,3
a,3
judicial,3
system,3
based,3
on,3
"authority,",4
because,2
I,2
don't,4
recognize,2
its,2
"authority,”",3
he,1
said.,0
His,1
"actions,",2
he,2
"said,",2
were,1
in,1
the,1
vanguard,1
of,1
a,1
worldwide,1
debate,1
on,1
the,1
economic,1
crisis.,0
The,1
timing,1
pushed,3
the,3
anti-capitalist,3
movement,2
into,2
the,2
"light,",2
just,1
as,1
many,2
Spaniards,1
were,1
seeking,1
alternatives,1
to,1
a,1
system,1
that,1
had,1
wreaked,2
havoc,1
on,1
their,1
lives.,0
While,1
the,2
